id	group	Use_Intention	Use_Consideration	Debug_Improv	Debug_Product	Debug_Effectiv	Debug_Usefulln	Use_Learning	Mental_Effort	Use_Ease	Debug_Ease	Java_Level	IDE_Level	Junit_Level	Prog_Exper	Prof_Exper	Java_Exper	IDE_Exper	Junit_Exper	Jag_Task	Jag_First	Jag_Time	Jag_Begin	Jag_Middle	Jag_End	Jag_FrList	Jag_FrSlide	Jag_FrText	Jag_ElemInspec	Jag_ShEditor	Jag_ShJUnit	Jag_Breakp	Jag_FaultyElem	Jag_FaultyLine	Jag_FaultyLineEcl	Jag_FaultyMeth	Jag_FaultyMethEcl	Jag_DiffScores	Jag_InspectOrder	Jag_YellowElem	Jag_GreenElem	Jag_SuspElemFirst	Jag_Start	Jag_FrJUnit	Jag_FrDebugger	Jag_BreakElem	Jag_BreakFMethod	Jag_BreakFLine	Jag_BreakAll	Jag_AllLines	Jag_AllMethods	Ecl_Task	Ecl_Time	Ecl_FrJunit	Ecl_FrDebugger	Ecl_BreakFMethod	Ecl_BreakFLine	Ecl_BreakAll	Ecl_MethInspect	Ecl_LineInspect	Ecl_AllLines	Ecl_AllMethods	Jag_MethOrLine	Jag_Result	Ecl_Result
14394072	5	3	2	3	4	6	3	1	1	1	1	1	1	1	3	0	3	2	0	jsoup	yes	32,4	yes	yes	yes	200	0	0	69	5	0	0	2	4	0	20	37	22	38	13	14	yes	no	2	0	0	0	0	0	182	131	xstream	35,7	5	0	0	0	0	2	16	63	41	L	NotFound	NotFound
29661232	6	4	4	3	4	5	2	1	1	1	3	1	1	0	10	2	2	0	0	xstream	yes	17,3	yes	no	yes	12	0	0	7	6	0	0	0	2	2	17	5	2	3	0	0	yes	yes	2	0	0	0	0	0	35	26	jsoup	23,0	5	0	0	0	0	5	20	79	46	L	Found	Found
40150337	4	4	3	3	3	3	2	2	1	2	3	2	1	0	6	2	5	1	0	jsoup	no	41,4	yes	yes	yes	19	0	2	2	1	0	0	0	3	0	38	2	2	2	0	0	yes	yes	9	0	0	0	0	0	178	134	xstream	34,2	8	1	0	0	0	2	2	36	26	M	Found	NotFound
97586938	8	2	2	1	2	2	1	1	4	4	3	2	2	1	5	1	5	2	1	jsoup	no	30,2	yes	no	no	3	0	0	1	0	0	0	0	8	0	17	0	1	1	0	0	yes	no	3	0	0	0	0	0	79	76	xstream	18,0	1	0	0	0	0	1	1	7	5	L	Found	NotFound
61135641	1	2	2	2	2	4	2	4	3	3	3	2	2	1	4	2	4	3	0	jsoup	yes	32,3	yes	yes	yes	171	0	0	28	11	0	0	2	11	0	17	0	11	9	6	3	yes	yes	6	1	0	0	0	0	1028	545	xstream	34,9	13	1	0	0	0	0	0	6	1	M	NotFound	NotFound
10647054	2	2	2	1	1	2	1	1	1	1	1	1	1	1	4	1	2	1	1	xstream	yes	15,8	yes	yes	yes	32	0	0	5	10	0	0	10	9	0	50	2	4	1	0	0	yes	yes	9	0	0	0	0	0	129	112	jsoup	22,6	1	0	0	0	0	4	19	106	51	M	Found	NotFound
29074165	2	1	1	2	2	4	2	1	1	1	1	1	1	0	3	1	0	0	0	xstream	yes	29,5	yes	yes	no	5	1	0	2	2	0	0	3	1	0	82	0	2	2	0	0	yes	no	4	0	0	0	0	0	97	94	jsoup	16,9	1	0	0	0	0	1	9	14	9	M	NotFound	NotFound
72067698	1	2	3	3	3	3	5	7	7	6	6	2	2	1	5	0	3	3	0	jsoup	yes	45,3	yes	yes	yes	22	1	0	6	0	1	0	0	0	0	0	4	6	1	3	1	yes	yes	21	0	0	0	0	0	33	26	xstream	7,6	3	0	0	0	0	2	3	10	7	M	NotFound	NotFound
52563306	8	2	2	3	3	3	2	2	2	2	2	2	2	2	5	5	0	5	5	jsoup	no	15,8	yes	no	yes	12	0	0	4	3	1	3	0	0	0	1	2	2	1	0	0	yes	yes	7	4	2	0	0	4	69	63	xstream	26,2	2	4	0	0	0	2	12	53	50	L	NotFound	NotFound
32526737	6	1	1	1	1	1	1	1	1	1	1	2	2	1	3	0	3	2	1	xstream	yes	6,0	yes	yes	yes	2	1	0	1	2	0	0	0	1	2	4	17	1	1	0	0	yes	yes	3	0	0	0	0	0	4	3	jsoup	30,1	12	0	0	0	0	4	13	55	33	L	Found	NotFound
69436668	1	2	2	2	3	4	1	2	2	2	2	2	1	1	3	0	3	2	1	jsoup	yes	22,0	yes	yes	yes	28	2	0	14	13	1	0	1	2	2	9	7	7	0	0	0	no	yes	4	0	0	0	0	0	112	90	xstream	5,1	2	0	0	0	0	1	4	13	9	M	NotFound	Found
89758924	4	2	2	1	1	1	2	1	1	1	1	2	2	1	10	5	8	8	1	jsoup	no	31,6	yes	yes	yes	110	0	0	7	5	0	3	0	0	0	11	69	6	0	0	0	no	no	9	5	3	0	0	9	127	85	xstream	33,7	15	11	2	0	18	3	8	59	38	M	NotFound	NotFound
88068117	3	6	6	5	5	6	6	2	2	2	2	3	3	3	10	10	10	10	10	xstream	no	4,8	yes	no	no	2	0	0	1	1	0	0	2	2	3	8	10	1	1	0	0	yes	yes	0	0	0	0	0	0	8	8	jsoup	24,3	6	3	0	0	2	3	14	55	43	M	Found	Found
52331432	8	4	4	4	4	4	4	4	4	4	4	1	1	0	5	5	1	1	0	jsoup	no	13,1	yes	yes	yes	10	0	0	5	0	0	3	0	0	0	0	95	2	2	0	0	yes	yes	3	1	0	0	0	3	23	23	xstream	46,4	12	13	8	0	23	3	43	363	285	L	NotFound	NotFound
